Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-3851,LEE011,"CDK4,CDK6,CDK4/6",single,29.90000000000001,19,23.200000000000003,12,26.0,26,SD
X-3851,LEE011 + encorafenib,"CDK4/6,BRAF,BRAF,CDK4,CDK6",combo,-65.8,105,-37.28888888888889,108,139.53023255813957,142,PR-->-->PD
X-3851,LEE011 + binimetinib,"CDK4,CDK6,MAP2K1,MAP2K2,CDK4/6,MAPK",combo,-24.200000000000003,93,10.631578947368425,121,142.0,142,SD-->PD
X-3851,WNT974,PORCN,single,120.0,21,25.879999999999995,15,18.505197505197504,28,PD
X-3851,LGW813,IAP,single,477.4,21,103.04000000000002,13,6.309655937846837,27,PD
X-3851,encorafenib,BRAF,single,216.1,26,49.74000000000001,12,10.815939278937382,26,PD
X-3851,encorafenib + binimetinib,"BRAF,MAP2K1,MAP2K2,MAPK",combo,254.5,25,40.66666666666666,11,9.996587030716723,25,PD
X-3851,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-19.09999999999999,9,0.5200000000000102,13,20.869230769230768,28,SD-->PD
X-3851,TAS266,DR5,single,159.2,26,47.76000000000002,12,10.232558139534884,26,PD
X-3851,untreated,"UNKNOWN,Untreated",single,212.2,23,22.820000000000007,12,15.688888888888886,26,PD
X-3873,BGJ398,FGFR,single,154.6,21,44.900000000000006,14,16.43577981651376,42,PD
X-3873,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-45.7,11,-30.09999999999999,14,14.0,14,SD
X-3873,BYL719,PIK3CA,single,66.6,21,-1.4799999999999898,14,29.7318718381113,49,PD
X-3873,BYL719 + LEE011,"PIK3CA,CDK4/6",combo,-51.1,10,-29.60000000000001,10,10.0,10,PR
X-3873,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,-64.7,50,-35.099999999999994,50,50.0,50,PR
X-3873,CGM097,MDM2,single,9.400000000000006,11,2.1500000000000057,11,14.0,14,SD
X-3873,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-93.7,56,-69.98,88,88.0,88,PR
X-3873,HDM201,MDM2,single,138.3,26,33.125,11,19.931338028169012,39,PD
X-3873,INC424,JAK,single,0.2000000000000028,15,-1.0250000000000057,15,35.0,35,SD
X-3873,LEE011,"CDK4,CDK6,CDK4/6",single,16.299999999999997,15,6.325000000000003,15,28.0,28,SD
X-3873,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-85.5,80,-61.09615384615385,91,91.0,91,PR
X-3873,LFA102,PRLR ,single,320.9,14,143.5666666666667,14,7.0,14,PD
X-3873,LJM716,ERBB3,single,-9.299999999999995,10,-3.739999999999995,14,33.9800796812749,70,SD-->PD
X-3873,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,-6.700000000000003,22,-3.899999999999991,24,31.0,31,SD
X-3873,LKA136,"NTRK1,NTRK2,NTRK3",single,136.9,20,18.620000000000005,13,17.199240986717268,34,PD
X-3873,LLM871,FGFR2/4,single,26.700000000000003,17,3.9000000000000057,17,36.626666666666665,70,SD-->PD
X-3873,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-15.700000000000005,24,-0.9833333333333344,42,60.59920239282154,70,SD-->PD
X-3873,trastuzumab,ERBB2,single,553.3,22,91.2,13,8.387704918032787,22,PD
X-3873,untreated,"UNKNOWN,Untreated",single,9.799999999999995,10,6.47999999999999,14,136.0,136,SD-->PD
X-3873,LFW527 + everolimus,"IGF1R,MTOR",combo,-25.299999999999997,80,14.427999999999995,87,98.0,98,SD-->-->PD
X-3880,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,4.099999999999994,41,17.47999999999999,17,46.0,46,SD-->PD
X-3880,BKM120 + encorafenib,"panPI3K,BRAF,BRAF,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,-5.799999999999997,17,6.8999999999999915,17,43.0,43,SD-->PD
X-3880,CGM097,MDM2,single,128.3,20,71.32499999999999,13,10.486486486486488,24,PD
X-3880,LDE225,SMO,single,28.59999999999999,7,7.399999999999992,7,7.0,7,SD
X-3880,LDK378,ALK,single,212.6,21,89.88,14,7.73419773095624,21,PD
X-3880,LEE011,"CDK4,CDK6,CDK4/6",single,44.80000000000001,20,23.5,13,24.0,24,PD
X-3880,LEE011 + encorafenib,"CDK4/6,BRAF,BRAF,CDK4,CDK6",combo,24.700000000000003,17,25.183333333333337,17,21.0,21,SD
X-3880,WNT974,PORCN,single,91.8,21,25.24000000000001,14,21.0,21,PD
X-3880,LGW813,IAP,single,73.19999999999999,20,13.150000000000006,13,22.953168044077135,24,PD
X-3880,encorafenib,BRAF,single,63.5,20,36.60000000000002,13,24.0,24,PD
X-3880,encorafenib + binimetinib,"BRAF,MAP2K1,MAP2K2,MAPK",combo,-17.799999999999997,28,-8.47999999999999,14,87.0,87,SD-->PD
X-3880,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-84.9,80,-61.19117647058823,164,255.6712328767123,262,PR-->-->PD
X-3880,TAS266,DR5,single,229.0,20,124.0,13,4.5212121212121215,27,PD
X-3880,untreated,"UNKNOWN,Untreated",single,556.8,21,128.74,13,5.356821589205397,21,PD
X-3898,abraxane,Tubulin,single,146.2,20,20.59999999999999,12,14.194533762057878,40,PD
X-3898,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,61.80000000000001,23,26.09999999999999,14,27.0,27,PD
X-3898,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-1.0,18,10.700000000000005,11,46.59334298118669,48,SD-->PD
X-3898,BKM120 + LDE225,"panPI3K,SMO",combo,-64.9,113,-24.24516129032257,113,113.0,113,PR
X-3898,BKM120 + binimetinib,"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,64.4,34,52.140000000000015,13,18.916030534351144,93,PD
X-3898,BYL719,PIK3CA,single,6.599999999999994,12,4.825000000000003,12,18.0,18,SD
X-3898,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,51.19999999999999,21,4.700000000000003,14,41.0,41,PD
X-3898,HDM201,MDM2,single,291.1,26,53.81999999999999,13,9.760098928277,26,PD
X-3898,"figitumumab""",IGF1R,single,19.5,15,8.349999999999994,12,30.71197411003236,55,SD-->PD
X-3898,"figitumumab"" + binimetinib","IGF1R,MAPK",combo,147.4,29,47.78,13,11.56221198156682,29,PD
X-3898,gemcitabine-50mpk,chemotherapy,single,23.59999999999999,17,14.52000000000001,14,58.92896781354051,109,SD-->PD
X-3898,INC424,JAK,single,184.0,24,43.75999999999999,13,14.666666666666666,45,PD
X-3898,INC424 + binimetinib,"JAK,MAPK",combo,-15.400000000000006,14,-6.916666666666671,18,84.0,84,SD-->PD
X-3898,LEE011,"CDK4,CDK6,CDK4/6",single,-17.400000000000006,53,55.00416666666666,80,7.982668977469671,97,PD
X-3898,WNT974,PORCN,single,224.5,22,32.28,13,19.404447533009034,27,PD
X-3898,LKA136,"NTRK1,NTRK2,NTRK3",single,85.30000000000001,21,16.700000000000003,14,22.14993481095176,38,PD
X-3898,binimetinib,"MAP2K1,MAP2K2,MAPK",single,146.3,58,90.48,13,7.51063829787234,58,PD
X-3898,binimetinib-3.5mpk,MAPK,single,294.6,29,114.9,12,4.038135593220339,33,PD
X-3898,untreated,"UNKNOWN,Untreated",single,255.4,22,61.640000000000015,13,8.841584158415841,27,PD
X-3947,abraxane,Tubulin,single,-58.8,10,-27.539999999999992,13,33.85304659498208,45,PR-->PD
X-3947,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,-48.9,79,-1.4357142857142833,94,94.0,94,SD
X-3947,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,389.9,22,121.11999999999998,12,5.242098184263618,26,PD
X-3947,BKM120 + LDE225,"panPI3K,SMO",combo,162.7,21,30.94999999999999,11,16.941860465116278,42,PD
X-3947,BKM120 + binimetinib,"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,-43.3,42,-28.15384615384616,42,42.0,42,SD
X-3947,BYL719,PIK3CA,single,564.5,20,92.02,13,6.760493827160492,20,PD
X-3947,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,430.9,20,110.2,13,6.4639269406392685,22,PD
X-3947,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,299.1,20,55.56,13,10.819121447028424,37,PD
X-3947,HDM201,MDM2,single,399.0,20,51.94,13,10.532467532467532,20,PD
X-3947,"figitumumab""",IGF1R,single,527.2,19,134.025,14,6.162436548223351,19,PD
X-3947,"figitumumab"" + binimetinib","IGF1R,MAPK",combo,286.6,21,135.48000000000002,14,5.67515923566879,28,PD
X-3947,gemcitabine-50mpk,chemotherapy,single,-59.5,69,-9.608333333333334,82,82.0,82,SD
X-3947,INC424,JAK,single,97.4,21,8.650000000000006,11,21.375,39,PD
X-3947,INC424 + binimetinib,"JAK,MAPK",combo,4.099999999999994,18,2.799999999999997,11,84.0,84,SD-->PD
X-3947,LEE011,"CDK4,CDK6,CDK4/6",single,219.4,12,88.62,12,8.468842729970326,12,PD
X-3947,WNT974,PORCN,single,206.9,7,92.29999999999998,7,3.8765522279035793,7,PD
X-3947,LKA136,"NTRK1,NTRK2,NTRK3",single,308.7,20,51.18000000000001,13,11.021978021978022,25,PD
X-3947,binimetinib,"MAP2K1,MAP2K2,MAPK",single,28.40000000000001,26,31.94999999999999,13,28.962758620689655,163,PD
X-3947,binimetinib-3.5mpk,MAPK,single,546.7,16,120.3,13,4.093617021276595,16,PD
X-3947,untreated,"UNKNOWN,Untreated",single,356.2,20,73.91999999999999,13,5.8578745198463515,21,PD
X-3990,abraxane,Tubulin,single,346.0,21,57.400000000000006,11,10.856287425149702,21,PD
X-3990,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,46.400000000000006,6,17.89999999999999,6,6.0,6,PD
X-3990,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,254.1,21,76.55000000000001,11,6.618131868131868,28,PD
X-3990,BKM120 + LDE225,"panPI3K,SMO",combo,-29.799999999999997,49,-7.579999999999998,49,49.0,49,SD
X-3990,BKM120 + binimetinib,"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,-55.8,94,-27.67857142857143,94,94.0,94,PR
X-3990,BYL719,PIK3CA,single,-13.400000000000006,17,-6.733333333333334,17,42.99111111111111,62,SD-->PD
X-3990,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,130.5,22,31.47499999999999,11,14.554999999999998,35,PD
X-3990,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,19.700000000000003,11,11.174999999999995,11,68.30733944954129,97,SD-->PD
X-3990,HDM201,MDM2,single,205.9,21,28.77500000000001,11,12.435555555555556,35,PD
X-3990,"figitumumab""",IGF1R,single,307.6,15,122.675,12,4.174909529553679,15,PD
X-3990,"figitumumab"" + binimetinib","IGF1R,MAPK",combo,247.0,21,121.85,11,4.513124470787468,25,PD
X-3990,gemcitabine-50mpk,chemotherapy,single,-100.0,50,-54.96923076923077,88,6.67157894736842,88,CR
X-3990,INC424,JAK,single,66.69999999999999,20,24.049999999999997,11,27.87700534759358,45,PD
X-3990,INC424 + binimetinib,"JAK,MAPK",combo,39.30000000000001,24,51.29999999999998,17,28.621076233183857,91,PD
X-3990,LEE011,"CDK4,CDK6,CDK4/6",single,209.1,22,101.45,12,5.0,36,PD
X-3990,WNT974,PORCN,single,322.7,23,30.819999999999993,13,12.033842794759826,29,PD
