[2025-10-04 00:28:35] Start training THERAPI_aligner model
[2025-10-04 00:28:35] random seed with 0
[2025-10-04 00:29:13] Start training THERAPI_aligner model
[2025-10-04 00:29:13] random seed with 0
[2025-10-04 00:29:16] Epoch 61, Train loss 115.9986, G_losses 80.7756, T_losses 36.7465
[2025-10-04 00:29:16] Epoch 62, Train loss 112.0550, G_losses 79.1917, T_losses 31.2030
[2025-10-04 00:29:16] Epoch 63, Train loss 114.9030, G_losses 82.8113, T_losses 34.1796
[2025-10-04 00:29:16] Epoch 64, Train loss 121.0294, G_losses 81.3336, T_losses 41.7848
[2025-10-04 00:29:16] Epoch 65, Train loss 117.4320, G_losses 80.7619, T_losses 34.7678
[2025-10-04 00:29:16] Epoch 66, Train loss 116.7480, G_losses 81.0002, T_losses 38.0239
[2025-10-04 00:29:16] Epoch 67, Train loss 113.4113, G_losses 79.5732, T_losses 32.2823
[2025-10-04 00:29:16] Epoch 68, Train loss 111.9818, G_losses 78.7987, T_losses 34.2848
[2025-10-04 00:29:16] Epoch 69, Train loss 108.8981, G_losses 78.0931, T_losses 30.5330
[2025-10-04 00:29:16] Epoch 70, Train loss 108.5809, G_losses 77.0749, T_losses 32.7143
[2025-10-04 00:29:16] Epoch 71, Train loss 105.8935, G_losses 75.9858, T_losses 29.7782
[2025-10-04 00:29:16] Epoch 72, Train loss 105.6014, G_losses 74.9977, T_losses 34.1447
[2025-10-04 00:29:16] Epoch 73, Train loss 102.4028, G_losses 73.7371, T_losses 27.5375
[2025-10-04 00:29:16] Epoch 74, Train loss 100.6708, G_losses 72.5174, T_losses 25.8179
[2025-10-04 00:29:16] Epoch 75, Train loss 99.3011, G_losses 71.4613, T_losses 25.4166
[2025-10-04 00:29:16] Epoch 76, Train loss 99.2771, G_losses 70.4153, T_losses 29.8049
[2025-10-04 00:29:16] Epoch 77, Train loss 96.9429, G_losses 69.0113, T_losses 26.9054
[2025-10-04 00:29:16] Epoch 78, Train loss 97.7848, G_losses 68.2675, T_losses 33.6624
[2025-10-04 00:29:16] Epoch 79, Train loss 96.1322, G_losses 67.7374, T_losses 27.4501
[2025-10-04 00:29:16] Epoch 80, Train loss 95.0747, G_losses 69.4963, T_losses 24.1867
[2025-10-04 00:29:17] Epoch 81, Train loss 96.1756, G_losses 67.9408, T_losses 27.1976
[2025-10-04 00:29:17] Epoch 82, Train loss 96.8776, G_losses 66.7007, T_losses 33.8486
[2025-10-04 00:29:17] Epoch 83, Train loss 95.3245, G_losses 65.6147, T_losses 31.1460
[2025-10-04 00:29:17] Epoch 84, Train loss 92.2500, G_losses 64.5533, T_losses 23.7039
[2025-10-04 00:29:17] Epoch 85, Train loss 92.3865, G_losses 63.5319, T_losses 27.7190
[2025-10-04 00:29:17] Epoch 86, Train loss 90.3506, G_losses 62.7063, T_losses 25.6912
[2025-10-04 00:29:17] Epoch 87, Train loss 88.3974, G_losses 61.5240, T_losses 22.9223
[2025-10-04 00:29:17] Epoch 88, Train loss 88.6889, G_losses 60.5690, T_losses 28.3013
[2025-10-04 00:29:17] Epoch 89, Train loss 86.9937, G_losses 59.7907, T_losses 25.3884
[2025-10-04 00:29:17] Epoch 90, Train loss 85.3193, G_losses 59.0379, T_losses 22.4780
[2025-10-04 00:29:17] Epoch 91, Train loss 84.6912, G_losses 58.1531, T_losses 24.1271
[2025-10-04 00:29:17] Epoch 92, Train loss 86.1611, G_losses 57.5826, T_losses 32.1371
[2025-10-04 00:29:17] Epoch 93, Train loss 85.2804, G_losses 57.7752, T_losses 27.6295
[2025-10-04 00:29:17] Epoch 94, Train loss 85.0431, G_losses 57.6128, T_losses 26.8306
[2025-10-04 00:29:17] Epoch 95, Train loss 83.8774, G_losses 56.0713, T_losses 29.2442
[2025-10-04 00:29:17] Epoch 96, Train loss 80.9616, G_losses 55.3988, T_losses 22.0114
[2025-10-04 00:29:17] Epoch 97, Train loss 81.9484, G_losses 54.1001, T_losses 30.0870
[2025-10-04 00:29:17] Epoch 98, Train loss 79.8448, G_losses 53.3121, T_losses 24.8320
[2025-10-04 00:29:17] Epoch 99, Train loss 79.4426, G_losses 52.8959, T_losses 24.9352
[2025-10-04 00:29:17] Epoch 100, Train loss 79.5008, G_losses 52.0119, T_losses 26.9475
